;tamanho_arranjo;rodada;min;max;chave;presente;metodo;comparacoes;tempo;posicao;cenario
0;100000;0;159;9999537;;;TimSort;;0.03168102199970235;;Ordenação
3;100000;0;159;9999537;;;TimSort;;0.032072427999992215;;Ordenação
4;100000;0;159;9999537;;;TimSort;;0.03153076399985366;;Ordenação
326;200000;0;214;19999919;;;TimSort;;0.10928725099984149;;Ordenação
328;200000;0;214;19999919;;;TimSort;;0.10960746299997481;;Ordenação
329;200000;0;214;19999919;;;TimSort;;0.11629025100000945;;Ordenação
652;300000;0;46;29999926;;;TimSort;;0.11685287000000244;;Ordenação
654;300000;0;46;29999926;;;TimSort;;0.11962079200020526;;Ordenação
656;300000;0;46;29999926;;;TimSort;;0.11960640400002376;;Ordenação
978;400000;0;50;39999903;;;TimSort;;0.1751645849999477;;Ordenação
981;400000;0;50;39999903;;;TimSort;;0.15949641399993197;;Ordenação
982;400000;0;50;39999903;;;TimSort;;0.16900581600020814;;Ordenação
1304;500000;0;33;49999822;;;TimSort;;0.20749142800013942;;Ordenação
1306;500000;0;33;49999822;;;TimSort;;0.20581068499996036;;Ordenação
1307;500000;0;33;49999822;;;TimSort;;0.21422775500013813;;Ordenação
1630;600000;0;37;59999980;;;TimSort;;0.2633070769998085;;Ordenação
1632;600000;0;37;59999980;;;TimSort;;0.27435580700011997;;Ordenação
1633;600000;0;37;59999980;;;TimSort;;0.27440223099983996;;Ordenação
1956;700000;0;88;69999968;;;TimSort;;0.43687606000003143;;Ordenação
1957;700000;0;88;69999968;;;TimSort;;0.4951253419999375;;Ordenação
1959;700000;0;88;69999968;;;TimSort;;0.4715603720001127;;Ordenação
2282;800000;0;87;79999951;;;TimSort;;0.3754908340001748;;Ordenação
2285;800000;0;87;79999951;;;TimSort;;0.40681265299963343;;Ordenação
2286;800000;0;87;79999951;;;TimSort;;0.36273483400009354;;Ordenação
2609;900000;0;51;89999944;;;TimSort;;0.6400141740000436;;Ordenação
2611;900000;0;51;89999944;;;TimSort;;0.6258039079998525;;Ordenação
2612;900000;0;51;89999944;;;TimSort;;0.4383027230001062;;Ordenação
2935;1000000;0;59;99999965;;;TimSort;;0.49196997100034423;;Ordenação
2937;1000000;0;59;99999965;;;TimSort;;0.4766924890000155;;Ordenação
2938;1000000;0;59;99999965;;;TimSort;;0.5202725730000566;;Ordenação
