;tamanho_arranjo;rodada;min;max;chave;presente;metodo;comparacoes;tempo;posicao;cenario;profundidade
0;100000;0;159;9999537;9415726;False;Lista;100000;0.023262386999988394;;Aleatório;
1;100000;0;159;9999537;9415726;False;Arvore;15;1.8826999991006232e-05;;Aleatório;40.0
2;100000;1;159;9999537;3979255;True;Lista;67749;0.02674188699998581;67748.0;Aleatório;
3;100000;1;159;9999537;3979255;True;Arvore;17;2.146200000652243e-05;67748.0;Aleatório;40.0
4;100000;2;159;9999537;3643811;True;Lista;5227;0.001267402999985734;5226.0;Aleatório;
5;100000;2;159;9999537;3643811;True;Arvore;15;1.2135000019952713e-05;5226.0;Aleatório;40.0
6;100000;3;159;9999537;1402036;True;Lista;17334;0.010430252999981349;17333.0;Aleatório;
7;100000;3;159;9999537;1402036;True;Arvore;22;2.4273999997603823e-05;17333.0;Aleatório;40.0
8;100000;4;159;9999537;5998185;False;Lista;100000;0.041937571999994816;;Aleatório;
9;100000;4;159;9999537;5998185;False;Arvore;18;2.189699998211836e-05;;Aleatório;40.0
10;100000;5;159;9999537;4946604;False;Lista;100000;0.0284353160000137;;Aleatório;
11;100000;5;159;9999537;4946604;False;Arvore;28;3.406900000868518e-05;;Aleatório;40.0
12;100000;6;159;9999537;2653705;True;Lista;10563;0.0028704759999982343;10562.0;Aleatório;
13;100000;6;159;9999537;2653705;True;Arvore;15;1.592499998537278e-05;10562.0;Aleatório;40.0
14;100000;7;159;9999537;876491;False;Lista;100000;0.07250436800001125;;Aleatório;
15;100000;7;159;9999537;876491;False;Arvore;27;3.1830000011723314e-05;;Aleatório;40.0
16;100000;8;159;9999537;8972311;True;Lista;94732;0.05802918700001669;94731.0;Aleatório;
17;100000;8;159;9999537;8972311;True;Arvore;24;3.07379999924251e-05;94731.0;Aleatório;40.0
18;100000;9;159;9999537;7203402;False;Lista;100000;0.02791472499998804;;Aleatório;
19;100000;9;159;9999537;7203402;False;Arvore;24;2.8783999994175247e-05;;Aleatório;40.0
20;100000;10;159;9999537;9578717;True;Lista;87222;0.03419060400000262;87221.0;Aleatório;
21;100000;10;159;9999537;9578717;True;Arvore;24;3.282800000192765e-05;87221.0;Aleatório;40.0
22;100000;11;159;9999537;9412689;True;Lista;22404;0.006483339999988402;22403.0;Aleatório;
23;100000;11;159;9999537;9412689;True;Arvore;13;2.754999999865504e-05;22403.0;Aleatório;40.0
24;100000;12;159;9999537;5377660;False;Lista;100000;0.05855020299998159;;Aleatório;
25;100000;12;159;9999537;5377660;False;Arvore;30;3.525299999296294e-05;;Aleatório;40.0
26;100000;13;159;9999537;4724123;False;Lista;100000;0.05758928500000593;;Aleatório;
27;100000;13;159;9999537;4724123;False;Arvore;27;2.979600000685423e-05;;Aleatório;40.0
28;100000;14;159;9999537;6031764;True;Lista;97729;0.024484157999978606;97728.0;Aleatório;
29;100000;14;159;9999537;6031764;True;Arvore;20;2.833499999610467e-05;97728.0;Aleatório;40.0
30;100000;15;159;9999537;4316492;False;Lista;100000;0.024900432000009687;;Aleatório;
31;100000;15;159;9999537;4316492;False;Arvore;18;2.371899998365734e-05;;Aleatório;40.0
32;100000;16;159;9999537;6265980;True;Lista;42801;0.011162692999988622;42800.0;Aleatório;
33;100000;16;159;9999537;6265980;True;Arvore;20;2.2835999999415435e-05;42800.0;Aleatório;40.0
34;100000;17;159;9999537;6375447;False;Lista;100000;0.02976032600000167;;Aleatório;
35;100000;17;159;9999537;6375447;False;Arvore;12;1.5823000012460398e-05;;Aleatório;40.0
36;100000;18;159;9999537;9203952;True;Lista;75933;0.018609353000016426;75932.0;Aleatório;
